,loss,val_accuracy,val_loss,accuracy
0,0.28442537784576416,0.23076923191547394,0.09069545567035675,0.28333333134651184
1,0.09735152870416641,0.22641509771347046,0.060984380543231964,0.29021739959716797
2,0.07323808968067169,0.20464441180229187,0.038144052028656006,0.2699275314807892
3,0.05492016300559044,0.19738751649856567,0.03393777087330818,0.292391300201416
4,0.05405966565012932,0.11320754885673523,0.03961971774697304,0.25217390060424805
5,0.03736340254545212,0.2859216332435608,0.03550371155142784,0.24891304969787598
6,0.037500567734241486,0.2075471729040146,0.028709281235933304,0.2865942120552063
7,0.033583998680114746,0.3294629752635956,0.02428646944463253,0.29963767528533936
8,0.034748099744319916,0.19013062119483948,0.03949718549847603,0.27355071902275085
9,0.03213666006922722,0.14368650317192078,0.03171902522444725,0.27427536249160767
10,0.02386748231947422,0.24818578362464905,0.029728321358561516,0.2905797064304352
11,0.030930746346712112,0.3280116021633148,0.02885349467396736,0.2800724506378174
12,0.028894413262605667,0.2815674841403961,0.019614018499851227,0.30942028760910034
